Question,Option_A,Option_B,Option_C,Correct_Answer,Subject
Уменьши 40 в 5 раз,35,8,45,B,Математика
Сколько будет 7 × 9?,54,72,63,C,Математика
Реши: 23 + 47,70,60,80,A,Математика
Вычисли: 100 – 1,90,99,10,B,Математика
Половина от 100 — это:,25,10,50,C,Математика
Сколько будет 2 × 8?,16,18,14,A,Математика
В 1 неделе сколько дней?,5,7,10,B,Математика
Реши: 56 ÷ 7,9,7,8,C,Математика
Найти сумму 14 и 16,30,20,40,A,Математика
Разность чисел 20 и 5,25,15,100,B,Математика
9 × 9 = ?,72,90,81,C,Математика
Вычисли: 88 – 44,44,55,33,A,Математика
Сколько лап у трех котов?,10,12,8,B,Математика
Реши: 45 ÷ 5,8,10,9,C,Математика
Чему равно 0 × 100?,0,100,10,A,Математика
Какое число идет перед 500?,400,499,501,B,Математика
Вычисли: 7 × 4,32,24,28,C,Математика
Реши: 33 + 33,66,99,63,A,Математика
Уменьши 50 на 20,70,30,10,B,Математика
Сколько будет 42 ÷ 6?,8,6,7,C,Математика
Какое число четное?,14,15,17,A,Математика
1 килограмм — это сколько граммов?,100,1000,10,B,Математика
Реши: 8 × 5,45,35,40,C,Математика
Сумма чисел 25 и 25,50,0,45,A,Математика
Раздели 81 на 9,8,9,7,B,Математика
В двух коробках по 10 яиц. Сколько всего?,12,100,20,C,Математика
Реши: 90 – 45,45,55,35,A,Математика
"Если к 0 прибавить 50, будет:",0,50,500,B,Математика
Сколько будет 6 × 6?,32,42,36,C,Математика
Реши: 10 + 20 + 30,60,50,70,A,Математика
Сколько ушей у 5 собак?,5,10,15,B,Математика
Вставь пропущенную букву: к...ртинка,о,а,е,B,Русский язык
Вставь букву: щ...ка,у,ю,о,A,Русский язык
Как правильно написать: рощ...,а,я,е,A,Русский язык
Какое слово пишется с буквой А?,М...шина,М...роз,М...локо,A,Русский язык
Вставь пропущенную букву: п...года,а,о,у,B,Русский язык
Вставь букву: ш...шка,ы,е,и,C,Русский язык
В каком слове нужен мягкий знак?,Ден...,Сон...,Сыр...,A,Русский язык
"Выбери слово, обозначающее предмет (существительное)",Прыгать,Стол,Красивый,B,Русский язык
"Какое слово отвечает на вопрос ""Что делать?""",Чтение,Читать,Читатель,B,Русский язык
Вставь пропущенную букву: р...бота,а,о,е,A,Русский язык
Какое слово написано правильно?,Заяц,Заиц,Заец,A,Русский язык
Вставь букву: уч...ник,и,е,я,B,Русский язык
Вставь пропущенную букву: в...рона,а,о,е,B,Русский язык
Найди слово с ошибкой,Часы,Чудо,Чяйник,C,Русский язык
Какая буква нужна: девоч...ка?,ь,ъ,буква не нужна,C,Русский язык
Вставь пропущенную букву: м...дведь,е,и,я,A,Русский язык
Вставь букву в слове: т...традь,и,е,я,B,Русский язык
В каком слове ударение падает на первый слог?,Арбуз,Портфель,Дерево,C,Русский язык
Вставь букву: с...хар,а,о,е,A,Русский язык
Как пишется слово: праз...ник?,д,т,буква не нужна,A,Русский язык
"Подбери проверочное к слову ""г...ра""",горы,горный,оба подходят,C,Русский язык
Вставь пропущенную букву: к...пуста,а,о,у,A,Русский язык
Вставь букву: м...роз,а,о,у,B,Русский язык
Вставь букву: п...льто,а,о,е,A,Русский язык
В каком слове есть приставка?,Полет,Помидор,Полка,A,Русский язык
Вставь букву: к...рандаш,а,о,е,A,Русский язык
Вставь букву: р...бята,и,е,я,B,Русский язык
"Найди слово, обозначающее признак (прилагательное)",Зима,Зимовать,Зимний,C,Русский язык
Вставь букву: д...журный,и,е,я,B,Русский язык
Какая буква нужна: грус...ный?,т,д,буква не нужна,A,Русский язык
Вставь букву: п...тух,и,е,я,B,Русский язык
Какое слово лишнее?,Кошка,Собака,Стол,C,Русский язык
Вставь букву: т...варищ,а,о,у,B,Русский язык
Какая буква пропущена: сер...це?,т,д,буква не нужна,B,Русский язык
Как написать: ноч...,ь,ъ,без знака,A,Русский язык
Найди одушевленное существительное (Кто?),Камень,Учитель,Ветер,B,Русский язык
Вставь букву: з...вод,а,о,е,A,Русский язык
Вставь букву: к...ньки,а,о,у,B,Русский язык
Как пишется слово: ж...ри?,у,ю,о,B,Русский язык
Вставь букву: м...шина,а,о,и,A,Русский язык
Вставь букву: х...рошо,а,о,у,B,Русский язык
"Какое слово является антонимом к слову ""день""?",Утро,Вечер,Ночь,C,Русский язык
Вставь букву: в...кзал,а,о,у,B,Русский язык
Какая буква пропущена: л...пата?,а,о,у,B,Русский язык
Вставь букву: д...рога,а,о,у,B,Русский язык
Найди слово с разделительным мягким знаком,Денек,Вьюга,Пальто,B,Русский язык
Вставь букву: к...рова,а,о,у,B,Русский язык
"Какое слово синоним к слову ""смелый""?",Трус,Храбрый,Умный,B,Русский язык
Вставь букву: б...рело,е,и,я,A,Русский язык
Вставь букву: с...ло,е,и,я,A,Русский язык
